term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Free T4,Lab Test,FALSE,Free Thyroxine,,Thyroid hormone not attached to proteins.,Free T4 is the best thyroid test.,{},{},"{lab,diagnostic,chemistry,endocrine}"
Coagulation Panel,Lab Panel,FALSE,Coagulation Panel,,Tests that check how well blood clots.,Coag panel ordered before surgery.,{},{coag panel},"{lab,diagnostic,hematology}"
PT,Lab Test,TRUE,Prothrombin Time,,Measures how long it takes blood to clot.,PT is 12.5 seconds which is normal.,{},{},"{lab,diagnostic,hematology,coagulation}"
INR,Lab Test,TRUE,International Normalized Ratio,,A standard way to measure PT used for blood thinner medicine.,INR goal is 2-3 for atrial fibrillation.,{},{},"{lab,diagnostic,hematology,coagulation}"
PTT,Lab Test,TRUE,Partial Thromboplastin Time,,Measures a different clotting pathway used for heparin medicine.,PTT is longer on heparin therapy.,{},{aPTT},"{lab,diagnostic,hematology,coagulation}"
D-dimer,Lab Test,FALSE,D-dimer,,A protein fragment that goes up when blood clots break down.,High D-dimer suggests possible blood clot.,{},{},"{lab,diagnostic,hematology,coagulation}"
Iron Studies,Lab Panel,FALSE,Iron Studies,,Tests that check iron levels in the body.,Iron studies ordered to check for low iron.,{},{},"{lab,diagnostic,chemistry,hematology}"
Serum Iron,Lab Test,FALSE,Serum Iron,,Measures how much iron is in the blood.,Low serum iron means iron deficiency.,{},{},"{lab,diagnostic,chemistry,hematology}"
TIBC,Lab Test,TRUE,Total Iron-Binding Capacity,,Measures blood's ability to carry iron.,High TIBC in iron deficiency anemia.,{},{},"{lab,diagnostic,chemistry,hematology}"
Ferritin,Lab Test,FALSE,Ferritin,,A protein that stores iron shows total body iron.,Low ferritin confirms iron deficiency.,{},{},"{lab,diagnostic,chemistry,hematology}"
Transferrin,Lab Test,FALSE,Transferrin,,A protein that carries iron in blood.,Transferrin test helps diagnose iron problems.,{},{},"{lab,diagnostic,chemistry,hematology}"
CRP,Lab Test,TRUE,C-Reactive Protein,,A marker of inflammation in the body.,High CRP means active inflammation.,{},{},"{lab,diagnostic,chemistry,inflammation}"
ESR,Lab Test,TRUE,Erythrocyte Sedimentation Rate,,A test for inflammation by how fast red blood cells settle.,High ESR suggests inflammatory process.,{},{sed rate},"{lab,diagnostic,hematology,inflammation}"
Troponin,Lab Test,FALSE,Troponin,,A heart enzyme released during heart muscle damage.,High troponin confirms heart attack.,{},"{cTn,troponin I,troponin T}","{lab,diagnostic,chemistry,cardiology}"
BNP,Lab Test,TRUE,B-type Natriuretic Peptide,,A hormone released by the heart when it's failing.,BNP of 450 means heart failure.,{},{},"{lab,diagnostic,chemistry,cardiology}"
ProBNP,Lab Test,TRUE,N-terminal pro-B-type Natriuretic Peptide,,A precursor to BNP that is a more stable heart failure marker.,High NT-proBNP in heart failure.,{},{NT-proBNP},"{lab,diagnostic,chemistry,cardiology}"
PSA,Lab Test,TRUE,Prostate-Specific Antigen,,A protein made by prostate that goes up with cancer or enlargement.,PSA screening in men over 50.,{},{},"{lab,diagnostic,chemistry,oncology}"
CEA,Lab Test,TRUE,Carcinoembryonic Antigen,,A tumor marker that goes up in colon and other cancers.,CEA watched in colon cancer patients.,{},{},"{lab,diagnostic,chemistry,oncology}"
CA 19-9,Lab Test,FALSE,Carbohydrate Antigen 19-9,,A tumor marker for pancreatic and stomach cancers.,CA 19-9 high in pancreatic cancer.,{},{},"{lab,diagnostic,chemistry,oncology}"
CA-125,Lab Test,FALSE,Cancer Antigen 125,,A tumor marker for ovarian cancer.,CA-125 watched in ovarian cancer treatment.,{},{},"{lab,diagnostic,chemistry,oncology}"
AFP,Lab Test,TRUE,Alpha-Fetoprotein,,A tumor marker for liver cancer.,High AFP suggests liver cancer.,{},{},"{lab,diagnostic,chemistry,oncology}"
Urinalysis,Lab Panel,FALSE,Urinalysis,,A test that checks urine for kidney disease or infection.,UA shows bacteria and white blood cells.,{},{UA},"{lab,diagnostic,urology}"
Urine Culture,Lab Test,FALSE,Urine Culture,,A test to find bacteria causing urinary tract infection.,Urine culture grew E. coli.,{},{},"{lab,diagnostic,microbiology,urology}"
