term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Gestational Diabetes,Condition,FALSE,Gestational Diabetes,,High blood sugar that develops during pregnancy.,Gestational diabetes usually resolves after delivery.,{},{GDM},"{condition,endocrine,pregnancy}"
Glaucoma,Condition,FALSE,Glaucoma,,Eye disease with increased pressure damaging the optic nerve.,Glaucoma can cause blindness if untreated.,{},{},"{condition,ophthalmology}"
Cataracts,Condition,FALSE,Cataracts,,Clouding of the eye lens causing blurry vision.,Cataracts treated with surgery.,{},{},"{condition,ophthalmology}"
Macular Degeneration,Condition,FALSE,Age-Related Macular Degeneration,,Eye disease causing loss of central vision.,Macular degeneration most common in elderly.,{},"{AMD,ARMD}","{condition,ophthalmology}"
Diabetic Retinopathy,Condition,FALSE,Diabetic Retinopathy,,Eye damage from diabetes affecting the retina.,Diabetic retinopathy can cause blindness.,{},{},"{condition,ophthalmology,endocrine}"
Vertigo,Condition,FALSE,Vertigo,,A sensation of spinning or dizziness.,Vertigo from inner ear problems.,{},{},"{condition,ent}"
Meniere Disease,Condition,FALSE,Meniere Disease,,Inner ear disorder causing vertigo and hearing loss.,Meniere disease causes episodes of severe dizziness.,{},{Meniere's},"{condition,ent}"
Tinnitus,Condition,FALSE,Tinnitus,,Ringing or buzzing sound in the ears.,Tinnitus often from noise exposure.,{},{},"{condition,ent}"
TMJ,Condition,TRUE,Temporomandibular Joint Disorder,,Jaw joint problems causing pain and clicking.,TMJ causes jaw pain and headaches.,{},{TMD},"{condition,dental}"
Gingivitis,Condition,FALSE,Gingivitis,,Inflammation of the gums.,Gingivitis from poor oral hygiene.,{},{},"{condition,dental}"
Periodontitis,Condition,FALSE,Periodontitis,,Serious gum infection damaging soft tissue and bone.,Periodontitis can cause tooth loss.,{},{gum disease},"{condition,dental}"
Varicose Veins,Condition,FALSE,Varicose Veins,,Swollen twisted veins visible under the skin.,Varicose veins most common in legs.,{},{},"{condition,vascular}"
Hemorrhoids,Condition,FALSE,Hemorrhoids,,Swollen veins in the rectum or anus.,Hemorrhoids cause rectal bleeding and pain.,{},{piles},"{condition,gastrointestinal}"
Anal Fissure,Condition,FALSE,Anal Fissure,,A small tear in the lining of the anus.,Anal fissure causes pain with bowel movements.,{},{},"{condition,gastrointestinal}"
Hernia,Condition,FALSE,Hernia,,When an organ pushes through a weak spot in muscle.,Inguinal hernia common in groin area.,{},{},"{condition,surgical}"
Gallstones,Condition,FALSE,Cholelithiasis,,Hard deposits in the gallbladder.,Gallstones can cause severe pain.,{},{},"{condition,gastrointestinal}"
Kidney Stones,Condition,FALSE,Nephrolithiasis,,Hard deposits in the kidneys causing severe pain.,Kidney stones pass through urinary tract.,{},{renal calculi},"{condition,renal,urology}"
BPH,Condition,TRUE,Benign Prostatic Hyperplasia,,Non-cancerous enlargement of the prostate.,BPH causes urinary frequency.,{},{enlarged prostate},"{condition,urology}"
Incontinence,Condition,FALSE,Urinary Incontinence,,Involuntary leakage of urine.,Urinary incontinence common in elderly.,{},{},"{condition,urology}"
Overactive Bladder,Condition,FALSE,Overactive Bladder,,Sudden urge to urinate that's difficult to control.,OAB causes frequent urgent urination.,{},{OAB},"{condition,urology}"
AKI,Condition,TRUE,Acute Kidney Injury,,Sudden decrease in kidney function.,AKI requires urgent treatment.,{},{acute renal failure},"{condition,renal}"
ESRD,Condition,TRUE,End-Stage Renal Disease,,Complete or near-complete kidney failure.,ESRD requires dialysis or transplant.,{},{kidney failure},"{condition,renal}"
Dehydration,Condition,FALSE,Dehydration,,Loss of too much body fluid.,Dehydration causes dizziness and dry mouth.,{},{},"{condition,general}"
Heat Stroke,Condition,FALSE,Heat Stroke,,Life-threatening condition from overheating.,Heat stroke is medical emergency.,{},{},"{condition,emergency}"
Hypothermia,Condition,FALSE,Hypothermia,,Dangerously low body temperature.,Hypothermia from prolonged cold exposure.,{},{},"{condition,emergency}"
Frostbite,Condition,FALSE,Frostbite,,Freezing of skin and tissues from extreme cold.,Frostbite affects fingers and toes.,{},{},"{condition,emergency}"
Burns,Condition,FALSE,Burns,,Tissue damage from heat chemicals or electricity.,Burns classified by degree of severity.,{},{},"{condition,emergency}"
Fracture,Condition,FALSE,Bone Fracture,,A broken bone.,Fracture requires immobilization or surgery.,{},{broken bone},"{condition,orthopedic}"
Sprain,Condition,FALSE,Sprain,,Stretched or torn ligament.,Ankle sprain from twisting injury.,{},{},"{condition,orthopedic}"
Strain,Condition,FALSE,Muscle Strain,,Stretched or torn muscle or tendon.,Back strain from heavy lifting.,{},{pulled muscle},"{condition,orthopedic}"
Tendinitis,Condition,FALSE,Tendinitis,,Inflammation of a tendon.,Achilles tendinitis from overuse.,{},{tendonitis},"{condition,orthopedic}"
Bursitis,Condition,FALSE,Bursitis,,Inflammation of fluid-filled sacs cushioning joints.,Shoulder bursitis causes pain with movement.,{},{},"{condition,orthopedic}"
Scoliosis,Condition,FALSE,Scoliosis,,Sideways curvature of the spine.,Scoliosis screened in adolescents.,{},{},"{condition,orthopedic}"
Herniated Disc,Condition,FALSE,Herniated Disc,,When disc cushion between vertebrae pushes out.,Herniated disc causes back and leg pain.,{},"{slipped disc,ruptured disc}","{condition,orthopedic,neurological}"
Sciatica,Condition,FALSE,Sciatica,,Pain radiating along the sciatic nerve from back to leg.,Sciatica from herniated disc.,{},{},"{condition,orthopedic,neurological}"
Rotator Cuff Tear,Condition,FALSE,Rotator Cuff Tear,,Tear in shoulder muscles or tendons.,Rotator cuff tear limits shoulder movement.,{},{},"{condition,orthopedic}"
ACL Tear,Condition,TRUE,Anterior Cruciate Ligament Tear,,Tear of major knee ligament.,ACL tear common in athletes requires surgery.,{},{},"{condition,orthopedic}"
Meniscus Tear,Condition,FALSE,Meniscus Tear,,Tear of knee cartilage.,Meniscus tear causes knee pain and swelling.,{},{},"{condition,orthopedic}"
Appendectomy,Procedure,FALSE,Appendectomy,,Surgery to remove the appendix.,Emergency appendectomy performed for appendicitis.,{},{},"{procedure,surgery,gastrointestinal}"
Cholecystectomy,Procedure,FALSE,Cholecystectomy,,Surgery to remove the gallbladder.,Laparoscopic cholecystectomy for gallstones.,{},{},"{procedure,surgery,gastrointestinal}"
Colectomy,Procedure,FALSE,Colectomy,,Surgery to remove all or part of the colon.,Colectomy performed for colon cancer.,{},{},"{procedure,surgery,gastrointestinal}"
Colonoscopy,Procedure,FALSE,Colonoscopy,,A test using a camera to look inside the colon.,Colonoscopy screening at age 45.,{},{},"{procedure,diagnostic,gastrointestinal}"
Endoscopy,Procedure,FALSE,Endoscopy,,A test using a camera to look inside the digestive tract.,Upper endoscopy to check for ulcers.,{},{EGD},"{procedure,diagnostic,gastrointestinal}"
EGD,Procedure,TRUE,Esophagogastroduodenoscopy,,A test looking inside the esophagus stomach and small intestine.,EGD shows gastritis.,{},{},"{procedure,diagnostic,gastrointestinal}"
ERCP,Procedure,TRUE,Endoscopic Retrograde Cholangiopancreatography,,A procedure to diagnose and treat bile duct and pancreas problems.,ERCP to remove bile duct stone.,{},{},"{procedure,diagnostic,gastrointestinal}"
Sigmoidoscopy,Procedure,FALSE,Sigmoidoscopy,,A test using a camera to look inside the lower colon.,Flexible sigmoidoscopy checks for polyps.,{},{},"{procedure,diagnostic,gastrointestinal}"
Biopsy,Procedure,FALSE,Biopsy,,Removing a small piece of tissue to check for disease.,Skin biopsy to rule out cancer.,{},{},"{procedure,diagnostic}"
Excisional Biopsy,Procedure,FALSE,Excisional Biopsy,,Removing an entire lump or area of abnormal tissue.,Excisional biopsy of breast lump.,{},{},"{procedure,diagnostic,surgery}"
Incisional Biopsy,Procedure,FALSE,Incisional Biopsy,,Removing a small piece of a larger abnormal area.,Incisional biopsy of large skin lesion.,{},{},"{procedure,diagnostic,surgery}"
Needle Biopsy,Procedure,FALSE,Needle Biopsy,,Using a needle to remove cells or tissue.,Fine needle biopsy of thyroid nodule.,{},"{FNA,fine needle aspiration}","{procedure,diagnostic}"
Core Biopsy,Procedure,FALSE,Core Biopsy,,Using a larger needle to remove a tissue sample.,Core biopsy of breast mass.,{},{},"{procedure,diagnostic}"
CABG,Procedure,TRUE,Coronary Artery Bypass Graft,,Heart surgery creating new routes around blocked arteries.,CABG after heart attack.,{},"{bypass surgery,heart bypass}","{procedure,surgery,cardiovascular}"
Angioplasty,Procedure,FALSE,Angioplasty,,Opening blocked arteries with a balloon.,Coronary angioplasty with stent placement.,{},{PCI},"{procedure,cardiovascular}"
Stent,Procedure,FALSE,Stent Placement,,Inserting a small tube to keep an artery open.,Cardiac stent keeps artery open.,{},{},"{procedure,cardiovascular}"
Cardiac Catheterization,Procedure,FALSE,Cardiac Catheterization,,Threading a tube through blood vessels to the heart.,Cardiac cath to check for blockages.,{},{heart cath},"{procedure,diagnostic,cardiovascular}"
Pacemaker,Procedure,FALSE,Pacemaker Insertion,,Implanting a device to control heart rhythm.,Pacemaker for slow heart rate.,{},{},"{procedure,cardiovascular}"
ICD,Procedure,TRUE,Implantable Cardioverter Defibrillator,,A device that shocks the heart if dangerous rhythm occurs.,ICD for heart failure patient.,{},{},"{procedure,cardiovascular}"
Ablation,Procedure,FALSE,Cardiac Ablation,,Destroying heart tissue causing abnormal rhythm.,Ablation for atrial fibrillation.,{},{},"{procedure,cardiovascular}"
Valve Replacement,Procedure,FALSE,Heart Valve Replacement,,Surgery to replace a damaged heart valve.,Aortic valve replacement for stenosis.,{},{},"{procedure,surgery,cardiovascular}"
Angiogram,Procedure,FALSE,Angiogram,,X-ray test using dye to see blood vessels.,Coronary angiogram shows blockages.,{},{arteriogram},"{procedure,diagnostic,cardiovascular}"
Echocardiogram,Procedure,FALSE,Echocardiogram,,Ultrasound of the heart.,Echo shows ejection fraction.,{},{echo},"{procedure,diagnostic,cardiovascular}"
Stress Test,Procedure,FALSE,Cardiac Stress Test,,A test checking heart function during exercise.,Stress test shows ischemia.,{},"{exercise stress test,treadmill test}","{procedure,diagnostic,cardiovascular}"
Holter Monitor,Procedure,FALSE,Holter Monitor,,A portable device recording heart rhythm for 24-48 hours.,Holter monitor to catch arrhythmia.,{},{},"{procedure,diagnostic,cardiovascular}"
Event Monitor,Procedure,FALSE,Event Monitor,,A portable device worn for weeks to record irregular heartbeats.,Event monitor for intermittent palpitations.,{},{},"{procedure,diagnostic,cardiovascular}"
Cardioversion,Procedure,FALSE,Cardioversion,,Using electricity to restore normal heart rhythm.,Cardioversion for persistent A-fib.,{},{},"{procedure,cardiovascular}"
Thrombolysis,Procedure,FALSE,Thrombolysis,,Using clot-busting drugs to dissolve blood clots.,Thrombolysis for acute stroke.,{},{clot busting},"{procedure,cardiovascular}"
Embolization,Procedure,FALSE,Embolization,,Blocking blood vessels to stop bleeding or shrink tumors.,Uterine artery embolization for fibroids.,{},{},"{procedure,interventional}"
Thoracentesis,Procedure,FALSE,Thoracentesis,,Removing fluid from around the lungs with a needle.,Thoracentesis for pleural effusion.,{},{},"{procedure,pulmonary}"
Paracentesis,Procedure,FALSE,Paracentesis,,Removing fluid from the abdomen with a needle.,Paracentesis for ascites.,{},{},"{procedure,gastrointestinal}"
Bronchoscopy,Procedure,FALSE,Bronchoscopy,,A test using a camera to look inside the airways.,Bronchoscopy to check for lung cancer.,{},{},"{procedure,diagnostic,pulmonary}"
Thoracotomy,Procedure,FALSE,Thoracotomy,,Surgery opening the chest.,Thoracotomy for lung resection.,{},{},"{procedure,surgery,pulmonary}"
Lobectomy,Procedure,FALSE,Lobectomy,,Surgery to remove a lobe of the lung.,Lobectomy for lung cancer.,{},{},"{procedure,surgery,pulmonary}"
Pneumonectomy,Procedure,FALSE,Pneumonectomy,,Surgery to remove an entire lung.,Pneumonectomy for advanced lung cancer.,{},{},"{procedure,surgery,pulmonary}"
