term,category,is_abbreviation,full_form,breakdown,definition,example_usage,synonyms,aliases,tags
Derm,Root,FALSE,Skin,derm/o,Relating to skin.,Dermatology studies skin.,{},{},"{root,anatomy}"
Dermat,Root,FALSE,Skin,dermat/o,Relating to skin.,Dermatitis is skin inflammation.,{},{},"{root,anatomy}"
Ophthalm,Root,FALSE,Eye,ophthalm/o,Relating to eyes.,Ophthalmology studies eyes.,{},{},"{root,anatomy}"
Ot,Root,FALSE,Ear,ot/o,Relating to ears.,Otitis is ear inflammation.,{},{},"{root,anatomy}"
Rhin,Root,FALSE,Nose,rhin/o,Relating to the nose.,Rhinitis is nose inflammation.,{},{},"{root,anatomy}"
Laryng,Root,FALSE,Larynx,laryng/o,Relating to the voice box.,Laryngitis is voice box inflammation.,{},{},"{root,anatomy}"
Pharyn,Root,FALSE,Pharynx,pharyng/o,Relating to the throat.,Pharyngitis is throat inflammation.,{},{},"{root,anatomy}"
Trache,Root,FALSE,Trachea,trache/o,Relating to the windpipe.,Tracheostomy opens the windpipe.,{},{},"{root,anatomy}"
Bronch,Root,FALSE,Bronchus,bronch/o,Relating to airways in lungs.,Bronchitis is airway inflammation.,{},{},"{root,anatomy}"
Pneum,Root,FALSE,Lung or Air,pneum/o,Relating to lungs or air.,Pneumonia is lung infection.,{},{},"{root,anatomy}"
Pneumon,Root,FALSE,Lung,pneumon/o,Relating to lungs.,Pneumonectomy removes a lung.,{},{},"{root,anatomy}"
Thorac,Root,FALSE,Chest,thorac/o,Relating to the chest.,Thoracic means related to chest.,{},{},"{root,anatomy}"
Abdomin,Root,FALSE,Abdomen,abdomin/o,Relating to the abdomen.,Abdominal pain in belly area.,{},{},"{root,anatomy}"
Gastr,Root,FALSE,Stomach,gastr/o,Relating to the stomach.,Gastric means related to stomach.,{},{},"{root,anatomy}"
Col,Root,FALSE,Colon,col/o,Relating to the colon.,Colitis is colon inflammation.,{},{},"{root,anatomy}"
Proct,Root,FALSE,Rectum,proct/o,Relating to the rectum.,Proctology studies rectum.,{},{},"{root,anatomy}"
